epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,194.77,1.22847,0.659,0.97552,0.90305,0.00999264,0.00333088,0.00999264,0.00333088,0.00999264,0.00333088,0.00999264,0.00333088
2,370.499,1.07983,0.60121,0.97056,1.07104,0.0197947,0.00659824,0.0197947,0.00659824,0.0197947,0.00659824,0.0197947,0.00659824
3,540.044,1.16079,0.42584,0.94074,1.63297,0.0293988,0.00979959,0.0293988,0.00979959,0.0293988,0.00979959,0.0293988,0.00979959
4,707.202,1.17595,0.64188,0.97313,0.91929,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,874.733,1.0723,0.67814,0.97994,0.82287,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1042.79,1.02135,0.68108,0.97939,0.83735,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1210.71,0.9808,0.70611,0.98399,0.77547,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1377.85,0.94449,0.72359,0.9862,0.74248,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1545.87,0.93132,0.72709,0.98822,0.72471,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1713.66,0.90136,0.73592,0.98822,0.69383,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1880.28,0.88717,0.73721,0.99135,0.67624,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2046.13,0.86477,0.7488,0.98933,0.6594,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2211.25,0.85336,0.74402,0.98914,0.67293,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2377.73,0.84524,0.75432,0.99025,0.65357,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2542.98,0.82416,0.75819,0.98877,0.63854,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2708.86,0.81295,0.77107,0.99264,0.61026,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2880.99,0.79236,0.76518,0.99117,0.62075,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3050.57,0.77776,0.77586,0.99282,0.59142,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3218.25,0.77266,0.77898,0.99338,0.58573,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3384.72,0.75997,0.78082,0.99356,0.5754,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3550.56,0.74016,0.78782,0.99356,0.56632,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3715.87,0.74373,0.79095,0.99411,0.56061,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3880.36,0.72693,0.79868,0.99356,0.53804,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4044.6,0.70817,0.79573,0.9943,0.53816,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4207.97,0.70533,0.79978,0.99338,0.53373,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4371.74,0.69158,0.80383,0.99448,0.51954,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4534.96,0.6864,0.80456,0.99319,0.52434,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4697.28,0.66976,0.8042,0.99448,0.51148,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4863.19,0.66322,0.81303,0.99411,0.50085,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,5025.14,0.64815,0.81064,0.99393,0.50011,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,5187.19,0.63739,0.81211,0.99393,0.5038,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,5350.63,0.63666,0.81524,0.99503,0.4943,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5513.63,0.62776,0.82186,0.99466,0.4891,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5676.85,0.62185,0.8226,0.99503,0.47938,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5841.22,0.61375,0.82665,0.99466,0.47582,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6004.49,0.60353,0.82757,0.9943,0.4745,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6169.65,0.59314,0.82738,0.99448,0.47386,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6333.73,0.59149,0.83088,0.99374,0.47258,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6500.55,0.57131,0.83106,0.99411,0.47028,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6663.6,0.57668,0.83106,0.99393,0.46729,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6827.69,0.56838,0.83162,0.99411,0.46414,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6992.37,0.56125,0.83438,0.9943,0.4611,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7158,0.55488,0.83677,0.99448,0.45981,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7324.28,0.54554,0.83677,0.9943,0.45946,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7488.09,0.5325,0.83548,0.99448,0.45905,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7652.2,0.53222,0.83677,0.99485,0.45746,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7817.57,0.52829,0.8364,0.99485,0.45671,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7982.93,0.51347,0.83622,0.99503,0.45562,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,8149.09,0.50938,0.83769,0.99522,0.45488,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,8316.84,0.50666,0.83769,0.9954,0.4542,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8483.74,0.49841,0.83898,0.9954,0.45346,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8651.23,0.49163,0.83879,0.99522,0.45287,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8818.92,0.47707,0.83806,0.99503,0.45176,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8985.73,0.48436,0.83842,0.99503,0.45181,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9154.16,0.46638,0.84026,0.99522,0.45143,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,9321.96,0.45869,0.84045,0.99466,0.4512,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,9489.48,0.45641,0.84119,0.99466,0.45136,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,9656.66,0.44372,0.84119,0.99448,0.45132,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,9824.57,0.44542,0.84211,0.99466,0.45111,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,9991.21,0.43433,0.84247,0.99485,0.45148,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10158,0.42696,0.84339,0.99485,0.45095,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,10322.9,0.41965,0.84395,0.99485,0.45126,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,10489.1,0.41828,0.84487,0.99485,0.45096,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,10654,0.40546,0.84505,0.99485,0.45039,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,10819.2,0.40165,0.84615,0.99503,0.45001,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,10984.2,0.39426,0.84634,0.99503,0.45056,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,11150,0.38193,0.84818,0.99503,0.45016,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,11316.3,0.37784,0.84836,0.99503,0.44997,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,11482.5,0.36732,0.84763,0.99503,0.44974,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,11650.1,0.36781,0.84873,0.99503,0.44915,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,11815.8,0.36273,0.84855,0.9954,0.44892,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,11981.4,0.35442,0.84965,0.99503,0.44869,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,12147.2,0.34156,0.84965,0.99503,0.44839,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,12318.1,0.33638,0.8491,0.99503,0.44821,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,12482.9,0.32861,0.84855,0.99503,0.44847,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,12648.5,0.32276,0.8491,0.99503,0.44852,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,12815.8,0.31628,0.84983,0.99503,0.44839,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,12992.3,0.31128,0.85075,0.99503,0.44884,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,13167.4,0.30037,0.85167,0.9954,0.44871,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,13339.4,0.29415,0.85112,0.9954,0.44812,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,13510.4,0.28941,0.85112,0.99558,0.44776,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,13679.3,0.28343,0.85149,0.9954,0.44763,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,13851.3,0.26875,0.85204,0.9954,0.44751,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,14022.2,0.26238,0.85278,0.9954,0.44756,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,14193.1,0.25486,0.85315,0.9954,0.44798,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,14361.7,0.25053,0.85407,0.9954,0.44766,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,14532.5,0.24457,0.85388,0.9954,0.44776,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,14703.2,0.22759,0.85388,0.99503,0.44855,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,14870.8,0.23139,0.85462,0.99503,0.44854,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,15038.1,0.22142,0.85499,0.99503,0.44881,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,15206,0.2113,0.85572,0.99503,0.44962,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,15373.5,0.20476,0.85572,0.99503,0.44981,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,15541.2,0.20178,0.8572,0.99466,0.4504,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,15708.6,0.1947,0.85664,0.99485,0.45063,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,15876.5,0.18748,0.85812,0.99466,0.45094,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,16043,0.18012,0.85867,0.99466,0.45211,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,16211.1,0.17132,0.85977,0.99466,0.45315,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,16380.9,0.17294,0.85996,0.99466,0.45369,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,16549.3,0.15997,0.86069,0.99448,0.4559,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,16724.1,0.16495,0.86051,0.99466,0.45564,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
